Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
211,North Texas,34,19,15,0.559,8.42,4.29,10,8,11,4,6,6,2353,2169,1370,826,1907,0.433,284,753,0.377,417,566,0.737,390,1179,378,241,101,378,571
212,Northeastern,32,12,20,0.375,-6.08,-3.14,7,11,7,5,4,13,2221,2315,1280,810,1780,0.455,204,642,0.318,397,531,0.748,326,1062,435,200,107,398,485
213,Northern Arizona,33,14,19,0.424,-12.17,-4.17,7,11,7,5,6,12,2265,2529,1330,825,1883,0.438,207,663,0.312,408,586,0.696,274,1034,444,187,102,416,605
214,Northern Colorado,33,19,14,0.576,-4.43,-5.24,12,6,11,3,7,8,2617,2542,1360,969,1997,0.485,254,730,0.348,425,583,0.729,270,1157,482,207,79,368,547
215,Northern Illinois,31,11,20,0.355,-9.14,-1.35,5,13,5,9,5,11,2269,2399,1255,800,1802,0.444,227,696,0.326,442,658,0.672,320,1111,317,164,153,394,539
216,Northern Iowa,33,19,14,0.576,3.86,2.89,12,8,11,3,6,8,2417,2346,1330,843,1849,0.456,238,690,0.345,493,697,0.707,265,1117,414,206,85,340,547
217,Northern Kentucky,33,18,15,0.545,-3.65,-3.71,12,8,12,3,6,11,2470,2416,1340,882,1935,0.456,209,656,0.319,497,691,0.719,347,1141,456,284,86,407,543
218,Northwestern NCAA,34,22,12,0.647,12.8,8.54,12,8,15,2,4,7,2493,2348,1385,892,1960,0.455,278,713,0.39,431,573,0.752,290,1068,530,239,106,300,598
219,Northwestern State,32,9,23,0.281,-14.4,-6.3,7,11,6,7,3,13,2257,2429,1300,808,1872,0.432,204,643,0.317,437,663,0.659,365,1107,368,223,105,425,598
220,Notre Dame,33,13,20,0.394,4.95,8.07,7,13,9,8,2,10,2113,2216,1335,742,1824,0.407,251,790,0.318,378,508,0.744,324,1185,335,189,80,413,497
